"event","quarter","bin","time","resolution","realization","binL","binH","binValue","grpd_event_time_bin","pAgg","dataSet"
2010,1,1,2010.125,1,9.60833333333333,11,1000,12,61,0.0507894736842105,"PRUNEMP"
2010,1,2,2010.125,1,9.60833333333333,10,11,10.5,62,0.281052631578947,"PRUNEMP"
2010,1,3,2010.125,1,9.60833333333333,9.5,10,9.75,63,0.436842105263158,"PRUNEMP"
2010,1,4,2010.125,1,9.60833333333333,9,9.5,9.25,64,0.161315789473684,"PRUNEMP"
2010,1,5,2010.125,1,9.60833333333333,8.5,9,8.75,65,0.0360526315789474,"PRUNEMP"
2010,1,6,2010.125,1,9.60833333333333,8,8.5,8.25,66,0.0130263157894737,"PRUNEMP"
2010,1,7,2010.125,1,9.60833333333333,7.5,8,7.75,67,0.0081578947368421,"PRUNEMP"
2010,1,8,2010.125,1,9.60833333333333,7,7.5,7.25,68,0.00723684210526316,"PRUNEMP"
2010,1,9,2010.125,1,9.60833333333333,6,7,6.5,69,0.00407894736842105,"PRUNEMP"
2010,1,10,2010.125,1,9.60833333333333,-1000,6,5,70,0.00144736842105263,"PRUNEMP"
2010,2,1,2010.375,1,9.60833333333333,11,1000,12,71,0.0123684210526316,"PRUNEMP"
2010,2,2,2010.375,1,9.60833333333333,10,11,10.5,72,0.116063157894737,"PRUNEMP"
2010,2,3,2010.375,1,9.60833333333333,9.5,10,9.75,73,0.473305263157895,"PRUNEMP"
2010,2,4,2010.375,1,9.60833333333333,9,9.5,9.25,74,0.297536842105263,"PRUNEMP"
2010,2,5,2010.375,1,9.60833333333333,8.5,9,8.75,75,0.0640105263157895,"PRUNEMP"
2010,2,6,2010.375,1,9.60833333333333,8,8.5,8.25,76,0.0157947368421053,"PRUNEMP"
2010,2,7,2010.375,1,9.60833333333333,7.5,8,7.75,77,0.00828947368421053,"PRUNEMP"
2010,2,8,2010.375,1,9.60833333333333,7,7.5,7.25,78,0.00710526315789474,"PRUNEMP"
2010,2,9,2010.375,1,9.60833333333333,6,7,6.5,79,0.00407894736842105,"PRUNEMP"
2010,2,10,2010.375,1,9.60833333333333,-1000,6,5,80,0.00144736842105263,"PRUNEMP"
2010,3,1,2010.625,1,9.60833333333333,11,1000,12,81,0.00903225806451613,"PRUNEMP"
2010,3,2,2010.625,1,9.60833333333333,10,11,10.5,82,0.150116129032258,"PRUNEMP"
2010,3,3,2010.625,1,9.60833333333333,9.5,10,9.75,83,0.580838709677419,"PRUNEMP"
2010,3,4,2010.625,1,9.60833333333333,9,9.5,9.25,84,0.231948387096774,"PRUNEMP"
2010,3,5,2010.625,1,9.60833333333333,8.5,9,8.75,85,0.0251612903225806,"PRUNEMP"
2010,3,6,2010.625,1,9.60833333333333,8,8.5,8.25,86,0.00258064516129032,"PRUNEMP"
2010,3,7,2010.625,1,9.60833333333333,7.5,8,7.75,87,0.00032258064516129,"PRUNEMP"
2010,3,8,2010.625,1,9.60833333333333,7,7.5,7.25,88,0,"PRUNEMP"
2010,3,9,2010.625,1,9.60833333333333,6,7,6.5,89,0,"PRUNEMP"
2010,3,10,2010.625,1,9.60833333333333,-1000,6,5,90,0,"PRUNEMP"
2010,4,1,2010.875,1,9.60833333333333,11,1000,12,91,0.00285853658536585,"PRUNEMP"
2010,4,2,2010.875,1,9.60833333333333,10,11,10.5,92,0.0671439024390244,"PRUNEMP"
2010,4,3,2010.875,1,9.60833333333333,9.5,10,9.75,93,0.761334146341463,"PRUNEMP"
2010,4,4,2010.875,1,9.60833333333333,9,9.5,9.25,94,0.141943902439024,"PRUNEMP"
2010,4,5,2010.875,1,9.60833333333333,8.5,9,8.75,95,0.0216560975609756,"PRUNEMP"
2010,4,6,2010.875,1,9.60833333333333,8,8.5,8.25,96,0.00453658536585366,"PRUNEMP"
2010,4,7,2010.875,1,9.60833333333333,7.5,8,7.75,97,0.000351219512195122,"PRUNEMP"
2010,4,8,2010.875,1,9.60833333333333,7,7.5,7.25,98,0.000175609756097561,"PRUNEMP"
2010,4,9,2010.875,1,9.60833333333333,6,7,6.5,99,0,"PRUNEMP"
2010,4,10,2010.875,1,9.60833333333333,-1000,6,5,100,0,"PRUNEMP"
2011,2,1,2009.375,1,8.93333333333333,11,1000,12,101,0.0188611111111111,"PRUNEMP"
2011,2,2,2009.375,1,8.93333333333333,10,11,10.5,102,0.0697222222222222,"PRUNEMP"
2011,2,3,2009.375,1,8.93333333333333,9.5,10,9.75,103,0.124083333333333,"PRUNEMP"
2011,2,4,2009.375,1,8.93333333333333,9,9.5,9.25,104,0.177361111111111,"PRUNEMP"
2011,2,5,2009.375,1,8.93333333333333,8.5,9,8.75,105,0.211666666666667,"PRUNEMP"
2011,2,6,2009.375,1,8.93333333333333,8,8.5,8.25,106,0.180444444444444,"PRUNEMP"
2011,2,7,2009.375,1,8.93333333333333,7.5,8,7.75,107,0.100972222222222,"PRUNEMP"
2011,2,8,2009.375,1,8.93333333333333,7,7.5,7.25,108,0.0609444444444444,"PRUNEMP"
2011,2,9,2009.375,1,8.93333333333333,6,7,6.5,109,0.0377222222222222,"PRUNEMP"
2011,2,10,2009.375,1,8.93333333333333,-1000,6,5,110,0.0182222222222222,"PRUNEMP"
2011,3,1,2009.625,1,8.93333333333333,11,1000,12,111,0.01204,"PRUNEMP"
2011,3,2,2009.625,1,8.93333333333333,10,11,10.5,112,0.06268,"PRUNEMP"
