"event","quarter","id","industry","bin","p","time","resolution","realization","binL","binH","binValue"
2012,5,20,2,6,1,2012.999,2,8.075,8,8.5,8.25
2012,5,20,2,7,0,2012.999,2,8.075,7.5,8,7.75
2012,5,20,2,8,0,2012.999,2,8.075,7,7.5,7.25
2012,5,20,2,9,0,2012.999,2,8.075,6,7,6.5
2012,5,20,2,10,0,2012.999,2,8.075,-1000,6,5
2009,2,84,1,1,0,2009.375,1,9.28333333333333,11,1000,12
2009,2,84,1,2,0.01,2009.375,1,9.28333333333333,10,11,10.5
2009,2,84,1,3,0.15,2009.375,1,9.28333333333333,9.5,10,9.75
2009,2,84,1,4,0.75,2009.375,1,9.28333333333333,9,9.5,9.25
2009,2,84,1,5,0.09,2009.375,1,9.28333333333333,8.5,9,8.75
2009,2,84,1,6,0,2009.375,1,9.28333333333333,8,8.5,8.25
2009,2,84,1,7,0,2009.375,1,9.28333333333333,7.5,8,7.75
2009,2,84,1,8,0,2009.375,1,9.28333333333333,7,7.5,7.25
2009,2,84,1,9,0,2009.375,1,9.28333333333333,6,7,6.5
2009,2,84,1,10,0,2009.375,1,9.28333333333333,-1000,6,5
2009,3,84,1,1,0,2009.625,1,9.28333333333333,11,1000,12
2009,3,84,1,2,0,2009.625,1,9.28333333333333,10,11,10.5
2009,3,84,1,3,0.04,2009.625,1,9.28333333333333,9.5,10,9.75
2009,3,84,1,4,0.95,2009.625,1,9.28333333333333,9,9.5,9.25
2009,3,84,1,5,0.01,2009.625,1,9.28333333333333,8.5,9,8.75
2009,3,84,1,6,0,2009.625,1,9.28333333333333,8,8.5,8.25
2009,3,84,1,7,0,2009.625,1,9.28333333333333,7.5,8,7.75
2009,3,84,1,8,0,2009.625,1,9.28333333333333,7,7.5,7.25
2009,3,84,1,9,0,2009.625,1,9.28333333333333,6,7,6.5
2009,3,84,1,10,0,2009.625,1,9.28333333333333,-1000,6,5
2009,4,84,1,1,0,2009.875,1,9.28333333333333,11,1000,12
2009,4,84,1,2,0,2009.875,1,9.28333333333333,10,11,10.5
2009,4,84,1,3,0,2009.875,1,9.28333333333333,9.5,10,9.75
2009,4,84,1,4,1,2009.875,1,9.28333333333333,9,9.5,9.25
2009,4,84,1,5,0,2009.875,1,9.28333333333333,8.5,9,8.75
2009,4,84,1,6,0,2009.875,1,9.28333333333333,8,8.5,8.25
2009,4,84,1,7,0,2009.875,1,9.28333333333333,7.5,8,7.75
2009,4,84,1,8,0,2009.875,1,9.28333333333333,7,7.5,7.25
2009,4,84,1,9,0,2009.875,1,9.28333333333333,6,7,6.5
2009,4,84,1,10,0,2009.875,1,9.28333333333333,-1000,6,5
2009,5,84,1,1,0,2009.999,2,9.28333333333333,11,1000,12
2009,5,84,1,2,0,2009.999,2,9.28333333333333,10,11,10.5
2009,5,84,1,3,0,2009.999,2,9.28333333333333,9.5,10,9.75
2009,5,84,1,4,1,2009.999,2,9.28333333333333,9,9.5,9.25
2009,5,84,1,5,0,2009.999,2,9.28333333333333,8.5,9,8.75
2009,5,84,1,6,0,2009.999,2,9.28333333333333,8,8.5,8.25
2009,5,84,1,7,0,2009.999,2,9.28333333333333,7.5,8,7.75
2009,5,84,1,8,0,2009.999,2,9.28333333333333,7,7.5,7.25
2009,5,84,1,9,0,2009.999,2,9.28333333333333,6,7,6.5
2009,5,84,1,10,0,2009.999,2,9.28333333333333,-1000,6,5
2010,2,84,1,1,0.2,2009.375,1,9.60833333333333,11,1000,12
2010,2,84,1,2,0.65,2009.375,1,9.60833333333333,10,11,10.5
2010,2,84,1,3,0.1,2009.375,1,9.60833333333333,9.5,10,9.75
2010,2,84,1,4,0.05,2009.375,1,9.60833333333333,9,9.5,9.25
2010,2,84,1,5,0,2009.375,1,9.60833333333333,8.5,9,8.75
2010,2,84,1,6,0,2009.375,1,9.60833333333333,8,8.5,8.25
2010,2,84,1,7,0,2009.375,1,9.60833333333333,7.5,8,7.75
2010,2,84,1,8,0,2009.375,1,9.60833333333333,7,7.5,7.25
2010,2,84,1,9,0,2009.375,1,9.60833333333333,6,7,6.5
2010,2,84,1,10,0,2009.375,1,9.60833333333333,-1000,6,5
2010,3,84,1,1,0.1,2009.625,1,9.60833333333333,11,1000,12
2010,3,84,1,2,0.15,2009.625,1,9.60833333333333,10,11,10.5
2010,3,84,1,3,0.65,2009.625,1,9.60833333333333,9.5,10,9.75
2010,3,84,1,4,0.06,2009.625,1,9.60833333333333,9,9.5,9.25
2010,3,84,1,5,0.04,2009.625,1,9.60833333333333,8.5,9,8.75
2010,3,84,1,6,0,2009.625,1,9.60833333333333,8,8.5,8.25
2010,3,84,1,7,0,2009.625,1,9.60833333333333,7.5,8,7.75
2010,3,84,1,8,0,2009.625,1,9.60833333333333,7,7.5,7.25
2010,3,84,1,9,0,2009.625,1,9.60833333333333,6,7,6.5
2010,3,84,1,10,0,2009.625,1,9.60833333333333,-1000,6,5
2010,4,84,1,1,0.1,2009.875,1,9.60833333333333,11,1000,12
2010,4,84,1,2,0.35,2009.875,1,9.60833333333333,10,11,10.5
2010,4,84,1,3,0.35,2009.875,1,9.60833333333333,9.5,10,9.75
2010,4,84,1,4,0.15,2009.875,1,9.60833333333333,9,9.5,9.25
2010,4,84,1,5,0.05,2009.875,1,9.60833333333333,8.5,9,8.75
2010,4,84,1,6,0,2009.875,1,9.60833333333333,8,8.5,8.25
2010,4,84,1,7,0,2009.875,1,9.60833333333333,7.5,8,7.75
2010,4,84,1,8,0,2009.875,1,9.60833333333333,7,7.5,7.25
2010,4,84,1,9,0,2009.875,1,9.60833333333333,6,7,6.5
2010,4,84,1,10,0,2009.875,1,9.60833333333333,-1000,6,5
2010,5,84,1,1,0,2010.999,2,9.60833333333333,11,1000,12
2010,5,84,1,2,0,2010.999,2,9.60833333333333,10,11,10.5
2010,5,84,1,3,1,2010.999,2,9.60833333333333,9.5,10,9.75
2010,5,84,1,4,0,2010.999,2,9.60833333333333,9,9.5,9.25
2010,5,84,1,5,0,2010.999,2,9.60833333333333,8.5,9,8.75
2010,5,84,1,6,0,2010.999,2,9.60833333333333,8,8.5,8.25
2010,5,84,1,7,0,2010.999,2,9.60833333333333,7.5,8,7.75
2010,5,84,1,8,0,2010.999,2,9.60833333333333,7,7.5,7.25
2010,5,84,1,9,0,2010.999,2,9.60833333333333,6,7,6.5
2010,5,84,1,10,0,2010.999,2,9.60833333333333,-1000,6,5
2009,4,99,1,1,0.05,2009.875,1,9.28333333333333,11,1000,12
2009,4,99,1,2,0.22,2009.875,1,9.28333333333333,10,11,10.5
2009,4,99,1,3,0.15,2009.875,1,9.28333333333333,9.5,10,9.75
2009,4,99,1,4,0.15,2009.875,1,9.28333333333333,9,9.5,9.25
2009,4,99,1,5,0.1,2009.875,1,9.28333333333333,8.5,9,8.75
2009,4,99,1,6,0.1,2009.875,1,9.28333333333333,8,8.5,8.25
2009,4,99,1,7,0.1,2009.875,1,9.28333333333333,7.5,8,7.75
2009,4,99,1,8,0.04,2009.875,1,9.28333333333333,7,7.5,7.25
2009,4,99,1,9,0.07,2009.875,1,9.28333333333333,6,7,6.5
2009,4,99,1,10,0.02,2009.875,1,9.28333333333333,-1000,6,5
2009,5,99,1,1,0,2009.999,2,9.28333333333333,11,1000,12
2009,5,99,1,2,0,2009.999,2,9.28333333333333,10,11,10.5
2009,5,99,1,3,0,2009.999,2,9.28333333333333,9.5,10,9.75
2009,5,99,1,4,1,2009.999,2,9.28333333333333,9,9.5,9.25
2009,5,99,1,5,0,2009.999,2,9.28333333333333,8.5,9,8.75
2009,5,99,1,6,0,2009.999,2,9.28333333333333,8,8.5,8.25
2009,5,99,1,7,0,2009.999,2,9.28333333333333,7.5,8,7.75
2009,5,99,1,8,0,2009.999,2,9.28333333333333,7,7.5,7.25
2009,5,99,1,9,0,2009.999,2,9.28333333333333,6,7,6.5
2009,5,99,1,10,0,2009.999,2,9.28333333333333,-1000,6,5
2010,4,99,1,1,0.05,2009.875,1,9.60833333333333,11,1000,12
2010,4,99,1,2,0.2,2009.875,1,9.60833333333333,10,11,10.5
2010,4,99,1,3,0.18,2009.875,1,9.60833333333333,9.5,10,9.75
2010,4,99,1,4,0.14,2009.875,1,9.60833333333333,9,9.5,9.25
2010,4,99,1,5,0.12,2009.875,1,9.60833333333333,8.5,9,8.75
