"event","quarter","id","industry","bin","p","time","resolution","realization","binL","binH","binValue"
2010,4,99,1,6,0.1,2009.875,1,9.60833333333333,8,8.5,8.25
2010,4,99,1,7,0.07,2009.875,1,9.60833333333333,7.5,8,7.75
2010,4,99,1,8,0.05,2009.875,1,9.60833333333333,7,7.5,7.25
2010,4,99,1,9,0.05,2009.875,1,9.60833333333333,6,7,6.5
2010,4,99,1,10,0.04,2009.875,1,9.60833333333333,-1000,6,5
2010,5,99,1,1,0,2010.999,2,9.60833333333333,11,1000,12
2010,5,99,1,2,0,2010.999,2,9.60833333333333,10,11,10.5
2010,5,99,1,3,1,2010.999,2,9.60833333333333,9.5,10,9.75
2010,5,99,1,4,0,2010.999,2,9.60833333333333,9,9.5,9.25
2010,5,99,1,5,0,2010.999,2,9.60833333333333,8.5,9,8.75
2010,5,99,1,6,0,2010.999,2,9.60833333333333,8,8.5,8.25
2010,5,99,1,7,0,2010.999,2,9.60833333333333,7.5,8,7.75
2010,5,99,1,8,0,2010.999,2,9.60833333333333,7,7.5,7.25
2010,5,99,1,9,0,2010.999,2,9.60833333333333,6,7,6.5
2010,5,99,1,10,0,2010.999,2,9.60833333333333,-1000,6,5
2011,4,99,1,1,0.04,2009.875,1,8.93333333333333,11,1000,12
2011,4,99,1,2,0.19,2009.875,1,8.93333333333333,10,11,10.5
2011,4,99,1,3,0.18,2009.875,1,8.93333333333333,9.5,10,9.75
2011,4,99,1,4,0.12,2009.875,1,8.93333333333333,9,9.5,9.25
2011,4,99,1,5,0.1,2009.875,1,8.93333333333333,8.5,9,8.75
2011,4,99,1,6,0.1,2009.875,1,8.93333333333333,8,8.5,8.25
2011,4,99,1,7,0.15,2009.875,1,8.93333333333333,7.5,8,7.75
2011,4,99,1,8,0,2009.875,1,8.93333333333333,7,7.5,7.25
2011,4,99,1,9,0.07,2009.875,1,8.93333333333333,6,7,6.5
2011,4,99,1,10,0.05,2009.875,1,8.93333333333333,-1000,6,5
2011,5,99,1,1,0,2011.999,2,8.93333333333333,11,1000,12
2011,5,99,1,2,0,2011.999,2,8.93333333333333,10,11,10.5
2011,5,99,1,3,0,2011.999,2,8.93333333333333,9.5,10,9.75
2011,5,99,1,4,0,2011.999,2,8.93333333333333,9,9.5,9.25
2011,5,99,1,5,1,2011.999,2,8.93333333333333,8.5,9,8.75
2011,5,99,1,6,0,2011.999,2,8.93333333333333,8,8.5,8.25
2011,5,99,1,7,0,2011.999,2,8.93333333333333,7.5,8,7.75
2011,5,99,1,8,0,2011.999,2,8.93333333333333,7,7.5,7.25
2011,5,99,1,9,0,2011.999,2,8.93333333333333,6,7,6.5
2011,5,99,1,10,0,2011.999,2,8.93333333333333,-1000,6,5
2012,4,99,1,1,0.03,2009.875,1,8.075,11,1000,12
2012,4,99,1,2,0.18,2009.875,1,8.075,10,11,10.5
2012,4,99,1,3,0.22,2009.875,1,8.075,9.5,10,9.75
2012,4,99,1,4,0.12,2009.875,1,8.075,9,9.5,9.25
2012,4,99,1,5,0.1,2009.875,1,8.075,8.5,9,8.75
2012,4,99,1,6,0.1,2009.875,1,8.075,8,8.5,8.25
2012,4,99,1,7,0.08,2009.875,1,8.075,7.5,8,7.75
2012,4,99,1,8,0.07,2009.875,1,8.075,7,7.5,7.25
2012,4,99,1,9,0.05,2009.875,1,8.075,6,7,6.5
2012,4,99,1,10,0.05,2009.875,1,8.075,-1000,6,5
2012,5,99,1,1,0,2012.999,2,8.075,11,1000,12
2012,5,99,1,2,0,2012.999,2,8.075,10,11,10.5
2012,5,99,1,3,0,2012.999,2,8.075,9.5,10,9.75
2012,5,99,1,4,0,2012.999,2,8.075,9,9.5,9.25
2012,5,99,1,5,0,2012.999,2,8.075,8.5,9,8.75
2012,5,99,1,6,1,2012.999,2,8.075,8,8.5,8.25
2012,5,99,1,7,0,2012.999,2,8.075,7.5,8,7.75
2012,5,99,1,8,0,2012.999,2,8.075,7,7.5,7.25
2012,5,99,1,9,0,2012.999,2,8.075,6,7,6.5
2012,5,99,1,10,0,2012.999,2,8.075,-1000,6,5
2009,2,407,2,1,0,2009.375,1,9.28333333333333,11,1000,12
2009,2,407,2,2,0,2009.375,1,9.28333333333333,10,11,10.5
2009,2,407,2,3,0.1,2009.375,1,9.28333333333333,9.5,10,9.75
2009,2,407,2,4,0.85,2009.375,1,9.28333333333333,9,9.5,9.25
2009,2,407,2,5,0.05,2009.375,1,9.28333333333333,8.5,9,8.75
2009,2,407,2,6,0,2009.375,1,9.28333333333333,8,8.5,8.25
2009,2,407,2,7,0,2009.375,1,9.28333333333333,7.5,8,7.75
2009,2,407,2,8,0,2009.375,1,9.28333333333333,7,7.5,7.25
2009,2,407,2,9,0,2009.375,1,9.28333333333333,6,7,6.5
2009,2,407,2,10,0,2009.375,1,9.28333333333333,-1000,6,5
2009,3,407,2,1,0,2009.625,1,9.28333333333333,11,1000,12
2009,3,407,2,2,0,2009.625,1,9.28333333333333,10,11,10.5
2009,3,407,2,3,0.15,2009.625,1,9.28333333333333,9.5,10,9.75
2009,3,407,2,4,0.85,2009.625,1,9.28333333333333,9,9.5,9.25
2009,3,407,2,5,0,2009.625,1,9.28333333333333,8.5,9,8.75
2009,3,407,2,6,0,2009.625,1,9.28333333333333,8,8.5,8.25
2009,3,407,2,7,0,2009.625,1,9.28333333333333,7.5,8,7.75
2009,3,407,2,8,0,2009.625,1,9.28333333333333,7,7.5,7.25
2009,3,407,2,9,0,2009.625,1,9.28333333333333,6,7,6.5
2009,3,407,2,10,0,2009.625,1,9.28333333333333,-1000,6,5
2009,4,407,2,1,0,2009.875,1,9.28333333333333,11,1000,12
2009,4,407,2,2,0,2009.875,1,9.28333333333333,10,11,10.5
2009,4,407,2,3,0.05,2009.875,1,9.28333333333333,9.5,10,9.75
2009,4,407,2,4,0.95,2009.875,1,9.28333333333333,9,9.5,9.25
2009,4,407,2,5,0,2009.875,1,9.28333333333333,8.5,9,8.75
2009,4,407,2,6,0,2009.875,1,9.28333333333333,8,8.5,8.25
2009,4,407,2,7,0,2009.875,1,9.28333333333333,7.5,8,7.75
2009,4,407,2,8,0,2009.875,1,9.28333333333333,7,7.5,7.25
2009,4,407,2,9,0,2009.875,1,9.28333333333333,6,7,6.5
2009,4,407,2,10,0,2009.875,1,9.28333333333333,-1000,6,5
2009,5,407,2,1,0,2009.999,2,9.28333333333333,11,1000,12
2009,5,407,2,2,0,2009.999,2,9.28333333333333,10,11,10.5
2009,5,407,2,3,0,2009.999,2,9.28333333333333,9.5,10,9.75
2009,5,407,2,4,1,2009.999,2,9.28333333333333,9,9.5,9.25
2009,5,407,2,5,0,2009.999,2,9.28333333333333,8.5,9,8.75
2009,5,407,2,6,0,2009.999,2,9.28333333333333,8,8.5,8.25
2009,5,407,2,7,0,2009.999,2,9.28333333333333,7.5,8,7.75
2009,5,407,2,8,0,2009.999,2,9.28333333333333,7,7.5,7.25
2009,5,407,2,9,0,2009.999,2,9.28333333333333,6,7,6.5
2009,5,407,2,10,0,2009.999,2,9.28333333333333,-1000,6,5
2010,2,407,2,1,0,2009.375,1,9.60833333333333,11,1000,12
2010,2,407,2,2,0,2009.375,1,9.60833333333333,10,11,10.5
2010,2,407,2,3,0.05,2009.375,1,9.60833333333333,9.5,10,9.75
2010,2,407,2,4,0.7,2009.375,1,9.60833333333333,9,9.5,9.25
2010,2,407,2,5,0.15,2009.375,1,9.60833333333333,8.5,9,8.75
2010,2,407,2,6,0.1,2009.375,1,9.60833333333333,8,8.5,8.25
2010,2,407,2,7,0,2009.375,1,9.60833333333333,7.5,8,7.75
2010,2,407,2,8,0,2009.375,1,9.60833333333333,7,7.5,7.25
2010,2,407,2,9,0,2009.375,1,9.60833333333333,6,7,6.5
2010,2,407,2,10,0,2009.375,1,9.60833333333333,-1000,6,5
2010,3,407,2,1,0,2009.625,1,9.60833333333333,11,1000,12
2010,3,407,2,2,0,2009.625,1,9.60833333333333,10,11,10.5
2010,3,407,2,3,0,2009.625,1,9.60833333333333,9.5,10,9.75
2010,3,407,2,4,0.05,2009.625,1,9.60833333333333,9,9.5,9.25
2010,3,407,2,5,0.7,2009.625,1,9.60833333333333,8.5,9,8.75
2010,3,407,2,6,0.25,2009.625,1,9.60833333333333,8,8.5,8.25
2010,3,407,2,7,0,2009.625,1,9.60833333333333,7.5,8,7.75
2010,3,407,2,8,0,2009.625,1,9.60833333333333,7,7.5,7.25
2010,3,407,2,9,0,2009.625,1,9.60833333333333,6,7,6.5
2010,3,407,2,10,0,2009.625,1,9.60833333333333,-1000,6,5
2010,4,407,2,1,0,2009.875,1,9.60833333333333,11,1000,12
2010,4,407,2,2,0.05,2009.875,1,9.60833333333333,10,11,10.5
2010,4,407,2,3,0.85,2009.875,1,9.60833333333333,9.5,10,9.75
2010,4,407,2,4,0.1,2009.875,1,9.60833333333333,9,9.5,9.25
2010,4,407,2,5,0,2009.875,1,9.60833333333333,8.5,9,8.75
2010,4,407,2,6,0,2009.875,1,9.60833333333333,8,8.5,8.25
2010,4,407,2,7,0,2009.875,1,9.60833333333333,7.5,8,7.75
2010,4,407,2,8,0,2009.875,1,9.60833333333333,7,7.5,7.25
2010,4,407,2,9,0,2009.875,1,9.60833333333333,6,7,6.5
2010,4,407,2,10,0,2009.875,1,9.60833333333333,-1000,6,5
2010,1,407,2,1,0,2010.125,1,9.60833333333333,11,1000,12
2010,1,407,2,2,0,2010.125,1,9.60833333333333,10,11,10.5
2010,1,407,2,3,0.5,2010.125,1,9.60833333333333,9.5,10,9.75
2010,1,407,2,4,0.5,2010.125,1,9.60833333333333,9,9.5,9.25
2010,1,407,2,5,0,2010.125,1,9.60833333333333,8.5,9,8.75
2010,1,407,2,6,0,2010.125,1,9.60833333333333,8,8.5,8.25
2010,1,407,2,7,0,2010.125,1,9.60833333333333,7.5,8,7.75
2010,1,407,2,8,0,2010.125,1,9.60833333333333,7,7.5,7.25
2010,1,407,2,9,0,2010.125,1,9.60833333333333,6,7,6.5
2010,1,407,2,10,0,2010.125,1,9.60833333333333,-1000,6,5
2010,2,407,2,1,0,2010.375,1,9.60833333333333,11,1000,12
2010,2,407,2,2,0,2010.375,1,9.60833333333333,10,11,10.5
2010,2,407,2,3,0.2,2010.375,1,9.60833333333333,9.5,10,9.75
2010,2,407,2,4,0.65,2010.375,1,9.60833333333333,9,9.5,9.25
2010,2,407,2,5,0.15,2010.375,1,9.60833333333333,8.5,9,8.75
2010,2,407,2,6,0,2010.375,1,9.60833333333333,8,8.5,8.25
2010,2,407,2,7,0,2010.375,1,9.60833333333333,7.5,8,7.75
2010,2,407,2,8,0,2010.375,1,9.60833333333333,7,7.5,7.25
2010,2,407,2,9,0,2010.375,1,9.60833333333333,6,7,6.5
2010,2,407,2,10,0,2010.375,1,9.60833333333333,-1000,6,5
2010,3,407,2,1,0,2010.625,1,9.60833333333333,11,1000,12
2010,3,407,2,2,0,2010.625,1,9.60833333333333,10,11,10.5
2010,3,407,2,3,0.6,2010.625,1,9.60833333333333,9.5,10,9.75
2010,3,407,2,4,0.4,2010.625,1,9.60833333333333,9,9.5,9.25
2010,3,407,2,5,0,2010.625,1,9.60833333333333,8.5,9,8.75
2010,3,407,2,6,0,2010.625,1,9.60833333333333,8,8.5,8.25
2010,3,407,2,7,0,2010.625,1,9.60833333333333,7.5,8,7.75
2010,3,407,2,8,0,2010.625,1,9.60833333333333,7,7.5,7.25
2010,3,407,2,9,0,2010.625,1,9.60833333333333,6,7,6.5
2010,3,407,2,10,0,2010.625,1,9.60833333333333,-1000,6,5
2010,4,407,2,1,0,2010.875,1,9.60833333333333,11,1000,12
2010,4,407,2,2,0,2010.875,1,9.60833333333333,10,11,10.5
2010,4,407,2,3,0.6,2010.875,1,9.60833333333333,9.5,10,9.75
2010,4,407,2,4,0.4,2010.875,1,9.60833333333333,9,9.5,9.25
2010,4,407,2,5,0,2010.875,1,9.60833333333333,8.5,9,8.75
2010,4,407,2,6,0,2010.875,1,9.60833333333333,8,8.5,8.25
2010,4,407,2,7,0,2010.875,1,9.60833333333333,7.5,8,7.75
2010,4,407,2,8,0,2010.875,1,9.60833333333333,7,7.5,7.25
2010,4,407,2,9,0,2010.875,1,9.60833333333333,6,7,6.5
2010,4,407,2,10,0,2010.875,1,9.60833333333333,-1000,6,5
2010,5,407,2,1,0,2010.999,2,9.60833333333333,11,1000,12
2010,5,407,2,2,0,2010.999,2,9.60833333333333,10,11,10.5
2010,5,407,2,3,1,2010.999,2,9.60833333333333,9.5,10,9.75
2010,5,407,2,4,0,2010.999,2,9.60833333333333,9,9.5,9.25
2010,5,407,2,5,0,2010.999,2,9.60833333333333,8.5,9,8.75
2010,5,407,2,6,0,2010.999,2,9.60833333333333,8,8.5,8.25
2010,5,407,2,7,0,2010.999,2,9.60833333333333,7.5,8,7.75
2010,5,407,2,8,0,2010.999,2,9.60833333333333,7,7.5,7.25
2010,5,407,2,9,0,2010.999,2,9.60833333333333,6,7,6.5
2010,5,407,2,10,0,2010.999,2,9.60833333333333,-1000,6,5
2011,2,407,2,1,0,2009.375,1,8.93333333333333,11,1000,12
2011,2,407,2,2,0,2009.375,1,8.93333333333333,10,11,10.5
2011,2,407,2,3,0,2009.375,1,8.93333333333333,9.5,10,9.75
2011,2,407,2,4,0,2009.375,1,8.93333333333333,9,9.5,9.25
2011,2,407,2,5,0.05,2009.375,1,8.93333333333333,8.5,9,8.75
2011,2,407,2,6,0.35,2009.375,1,8.93333333333333,8,8.5,8.25
2011,2,407,2,7,0.25,2009.375,1,8.93333333333333,7.5,8,7.75
2011,2,407,2,8,0.2,2009.375,1,8.93333333333333,7,7.5,7.25
2011,2,407,2,9,0.15,2009.375,1,8.93333333333333,6,7,6.5
2011,2,407,2,10,0,2009.375,1,8.93333333333333,-1000,6,5
2011,3,407,2,1,0,2009.625,1,8.93333333333333,11,1000,12
2011,3,407,2,2,0,2009.625,1,8.93333333333333,10,11,10.5
