"event","quarter","time","resolution","realization","grpd_event_time_bin","dataSet","grpd_time_event","EV","VarPredictedAgg","sqDevFromRealizationAgg","errorAgg","perc_errorAgg","avg_disagreementEV"
1984,2,1983.375,1,3.6,778,"PRPGDP",61,5.38315789473684,2.33319002770083,3.17965207756232,0.846462049861494,0.362791731411442,0.401716343490305
1984,3,1983.625,1,3.6,784,"PRPGDP",63,5.41,2.16123333333333,3.2761,1.11486666666667,0.515847432793004,0.44402
1984,4,1983.875,1,3.6,790,"PRPGDP",65,5.10222222222222,1.72732839506173,2.25667160493827,0.529343209876543,0.306451981794479,0.213195061728395
1984,1,1984.125,1,3.6,796,"PRPGDP",66,5.28827586206897,2.36931082045184,2.85027538644471,0.480964565992867,0.202997665752079,0.794083234244947
1984,2,1984.375,1,3.6,802,"PRPGDP",67,5.07333333333333,1.7364404040404,2.17071111111111,0.434270707070704,0.250092491547783,0.420646464646465
1984,3,1984.625,1,3.6,808,"PRPGDP",68,3.93157894736842,1.41637119113573,0.10994459833795,-1.30642659279778,-0.922375858090004,0.531634349030471
1984,4,1984.875,1,3.6,814,"PRPGDP",69,3.47785714285714,0.759577901239067,0.0149188775510203,-0.744659023688047,-0.980358989477335,0.279488265306122
1985,2,1985.375,1,3.2,820,"PRPGDP",71,4.42,2.83283076923077,1.4884,-1.34443076923077,-0.47458915789588,0.942153846153846
1985,3,1985.625,1,3.2,826,"PRPGDP",73,3.69862068965517,1.67882568370987,0.248622592152199,-1.43020309155767,-0.851906845025868,0.450756718192628
1985,4,1985.875,1,3.2,832,"PRPGDP",75,3.50347826086956,1.21022647554861,0.0920990548204156,-1.1181274207282,-0.923899322415116,0.339700945179584
1986,1,1985.125,1,2,838,"PRPGDP",70,2.02380952380952,2.00133786848073,0.000566893424036277,-2.00077097505669,-0.999716742768443,0.808975963718821
1986,2,1985.375,1,2,844,"PRPGDP",72,4.87,3.17233076923077,8.2369,5.06456923076923,1.59648208184713,1.34899230769231
1986,3,1985.625,1,2,850,"PRPGDP",74,4.195,2.52483214285714,4.818025,2.29319285714285,0.908255570030821,0.665932142857143
