"grpd_time_event","avg_sqDevFromRealization","avg_VarPredicted","avg_error","avg_disagreementEV","time","event","avgEV","avg_disagreementEVMinusPersoni","avg_realization","dataSet"
1,1.58546398809524,1.04248244047619,0.542981547619047,1.16951577026644,1968.875,1968,3.65505952380952,1.16934600458633,4.3,"PRPGDP"
2,2.10444875,0.86307625,1.2413725,0.4163981875,1969.125,1969,3.60075,0.416278567222063,4.9,"PRPGDP"
3,1.26319913793103,0.914897234195402,0.348301903735633,0.444174137931034,1969.375,1969,3.995,0.444037426900585,4.9,"PRPGDP"
4,2.9469054245283,1.45945153852201,1.48745388600629,1.99876229307583,1969.625,1969,3.92627358490566,1.9985809994438,4.9,"PRPGDP"
5,0.670404166666667,0.955950689814815,-0.285546523148148,0.35295539266118,1969.875,1969,4.33657407407407,0.352829741043999,4.9,"PRPGDP"
6,0.836121929824561,0.950000877192983,-0.113878947368421,0.252640366266544,1970.125,1970,4.53614035087719,0.25255980492526,5.3,"PRPGDP"
7,1.55863316326531,0.792587925170068,0.766045238095238,0.878344856309871,1970.375,1970,4.47520408163265,0.877963630243764,5.3,"PRPGDP"
8,1.38888611111111,0.711502777777778,0.677383333333333,0.99918648834019,1970.625,1970,4.67574074074074,0.998830779373179,5.3,"PRPGDP"
9,2.33017564102564,1.54158161324786,0.788594027777777,1.37061306523486,1970.875,1970,4.32042735042735,1.37051120635665,5.3,"PRPGDP"
10,0.645306603773585,0.817913522012579,-0.172606918238994,0.369780651477394,1971.125,1971,4.57509433962264,0.369643898277883,5.1,"PRPGDP"
11,0.556946363636363,0.674708101515152,-0.117761737878788,0.211843520661157,1971.375,1971,4.51254545454545,0.21177087199152,5.1,"PRPGDP"
12,0.487581617647059,0.588883399509804,-0.101301781862745,0.46867536764706,1971.625,1971,4.9625,0.468570962352417,5.1,"PRPGDP"
13,2.23427763157895,0.801989816885965,1.43228781469298,0.382887725069252,1971.875,1971,3.73934210526316,0.382819656140351,5.1,"PRPGDP"
14,0.979380241935484,0.71172748655914,0.267652755376344,0.454105989854319,1972.125,1972,3.57524193548387,0.453983951157771,4.3,"PRPGDP"
15,0.468282857142857,0.61210431547619,-0.143821458333333,0.335474673469388,1972.375,1972,3.93557142857143,0.335404210399976,4.3,"PRPGDP"
16,0.664407196969697,0.845846685606061,-0.181439488636364,0.426011736685032,1972.625,1972,3.81174242424242,0.425910905504752,4.3,"PRPGDP"
17,1.21025614754098,0.658552448087432,0.551703699453552,0.860509943563557,1972.875,1972,3.70860655737705,0.86027091302368,4.3,"PRPGDP"
18,2.40169016393443,0.583215087431694,1.81847507650273,1.70514942219834,1973.375,1973,4.66540983606557,1.70467576958106,5.5,"PRPGDP"
19,0.843692777777778,0.653037055555556,0.190655722222222,0.775803580246914,1973.625,1973,5.23944444444444,0.775402855257117,5.5,"PRPGDP"
20,2.389827,1.14739993833333,1.24242706166667,2.028626,1973.875,1973,6.101,2.027781091212,5.5,"PRPGDP"
21,1.5501046875,0.559641276041667,0.990463411458334,0.51839894748264,1974.875,1974,10.0157291666667,0.518164271634978,9,"PRPGDP"
22,0.948858536585366,1.42793821138211,-0.479079674796748,0.901949315883403,1975.125,1975,9.51658536585366,0.901385597560976,9.3,"PRPGDP"
23,1.24239666666667,0.935320938888889,0.307075727777779,0.883728765432098,1975.375,1975,8.70111111111111,0.88327229396235,9.3,"PRPGDP"
24,1.05085375,0.757005295833333,0.293848454166667,0.930618187500001,1975.625,1975,8.95325,0.93000634122288,9.3,"PRPGDP"
25,8.56820178571429,1.02700755357143,7.54119423214286,0.832519118480725,1975.875,1975,6.51869047619047,0.832023866179428,9.3,"PRPGDP"
26,1.05717978723404,1.07199780673759,-0.0148180195035461,0.429713558171118,1976.125,1976,6.29212765957447,0.429510479930017,5.5,"PRPGDP"
27,0.581799479166667,0.784079276041667,-0.202279796875,0.377514312065972,1976.375,1976,5.95197916666667,0.377343413780745,5.5,"PRPGDP"
28,1.36786214285714,0.623889776190476,0.743972366666666,1.26827681632653,1976.625,1976,5.81557142857143,1.26717969105289,5.5,"PRPGDP"
29,0.865035416666667,0.854408201388889,0.0106272152777779,0.776611786265434,1976.875,1976,5.79736111111111,0.775977817460318,5.5,"PRPGDP"
30,0.89291375,0.922552239583333,-0.0296384895833333,0.7339121875,1977.125,1977,5.80125,0.733429667981591,6.2,"PRPGDP"
31,0.451716463414634,0.762391180894309,-0.310674717479675,0.449301100535395,1977.375,1977,6.24914634146341,0.449020287347561,6.2,"PRPGDP"
32,0.473484722222222,0.7233015625,-0.249816840277778,0.449200694444444,1977.625,1977,6.04416666666667,0.448834,6.2,"PRPGDP"
33,0.304235625,0.827085208333333,-0.522849583333333,0.302418734375,1977.875,1977,6.157375,0.302219905489809,6.2,"PRPGDP"
34,0.740350961538461,0.663750458333333,0.0766005032051279,0.337370155325444,1978.125,1978,6.36519230769231,0.336830363076923,7,"PRPGDP"
35,0.594365151515151,0.673039712121212,-0.0786745606060606,0.483859274563821,1978.375,1978,6.66757575757576,0.483386755741004,7,"PRPGDP"
36,0.571875,0.543969675925926,0.0279053240740739,0.185865912208505,1978.625,1978,7.6212962962963,0.185590962634232,7,"PRPGDP"
37,1.74481517857143,0.923082663690476,0.821732514880952,1.12662611607143,1978.875,1978,7.78625,1.12508067558299,7,"PRPGDP"
38,1.73752651515151,1.12861392424242,0.60891259090909,1.73256267217631,1979.125,1979,8.37045454545454,1.73087071644176,8.3,"PRPGDP"
39,1.0044421875,1.57105696614583,-0.566614778645834,0.994379589843749,1979.375,1979,8.4003125,0.993344855619146,8.3,"PRPGDP"
40,1.56097638888889,1.0048953125,0.556081076388887,1.02482700617284,1979.625,1979,9.03222222222222,1.02399041269841,8.3,"PRPGDP"
41,0.772623387096774,0.972136470430108,-0.199513083333334,0.574598387096774,1979.875,1979,8.745,0.573959944444445,8.3,"PRPGDP"
42,3.34358020833333,1.10030933333333,2.243270875,2.92405412326389,1980.125,1980,9.64770833333333,2.91852661074354,9,"PRPGDP"
43,2.14636,0.998773333333333,1.14758666666667,2.05345696,1980.375,1980,9.3048,2.04989193055556,9,"PRPGDP"
44,0.214240909090909,0.688183333333333,-0.473942424242424,0.108615909090909,1980.625,1980,9.325,0.108369614512472,9,"PRPGDP"
45,0.522344827586208,0.443703229885058,0.0786415977011504,0.389497146254459,1980.875,1980,9.36448275862069,0.389000338669951,9,"PRPGDP"
46,0.325458064516129,1.30024086021505,-0.974782795698925,0.130151092611863,1981.625,1981,9.05806451612903,0.130006480286738,9.5,"PRPGDP"
47,5.15672258064516,2.19291182795699,2.96381075268817,0.662322580645161,1981.625,1982,8.32,0.661586666666666,6.2,"PRPGDP"
48,0.337582051282052,0.671646692307692,-0.334064641025641,0.0577681788297172,1981.875,1981,8.97102564102564,0.0577281731657078,9.5,"PRPGDP"
49,5.01297272727273,1.72696666666667,3.28600606060606,0.79741714876033,1981.875,1982,8.25318181818182,0.7969858793451,6.2,"PRPGDP"
50,2.12406060606061,1.65254545454545,0.471515151515151,0.868302662993572,1982.125,1982,7.32060606060606,0.867454711174242,6.2,"PRPGDP"
51,10.191675,2.01949166666667,8.17218333333333,0.98045,1982.125,1983,6.935,0.979429760665973,3.9,"PRPGDP"
52,0.8054425,1.65649939166667,-0.851056891666667,0.8044969375,1982.375,1982,6.23075,0.803968011176857,6.2,"PRPGDP"
53,5.99326315789474,2.14845614035088,3.84480701754386,0.828408864265928,1982.375,1983,6.17263157894737,0.827803744569605,3.9,"PRPGDP"
54,0.919333333333333,1.36085714285714,-0.44152380952381,0.632853514739228,1982.625,1982,6.7352380952381,0.632477040310473,6.2,"PRPGDP"
