"grpd_time_event","avg_sqDevFromRealization","avg_VarPredicted","avg_error","avg_disagreementEV","time","event","avgEV","avg_disagreementEVMinusPersoni","avg_realization","dataSet"
1,0.106358773746395,0.287086053676773,-0.180727279930379,0.105049162877614,2009.375,2009,9.24714478723404,0.104999517715574,9.28333333333333,"PRUNEMP"
2,0.500597811022458,0.489725888741135,0.0108719222813237,0.495389527331372,2009.375,2010,9.53616489361702,0.495155411297661,9.60833333333333,"PRUNEMP"
3,0.889587712384258,0.511858005208333,0.377729707175924,0.839824637104552,2009.375,2011,8.71025694444444,0.839139065972222,8.93333333333333,"PRUNEMP"
4,0.983915180295772,0.668317096665012,0.315598083630759,0.932018420721761,2009.375,2012,7.84719139705882,0.931162572768849,8.075,"PRUNEMP"
5,0.0863947127525258,0.224608263210227,-0.138213550457701,0.0776482122359961,2009.625,2009,9.37685606060606,0.0775723839037344,9.28333333333333,"PRUNEMP"
6,0.411836589015151,0.484493714015152,-0.0726571250000001,0.40919291540404,2009.625,2010,9.55691666666667,0.408793312947591,9.60833333333333,"PRUNEMP"
7,0.916311392777776,0.531300378156667,0.385011014621109,0.8320411734,2009.625,2011,8.64304,0.830596657473958,8.93333333333333,"PRUNEMP"
8,1.10718880965909,0.831904376214962,0.275284433444128,1.00673582915806,2009.625,2012,7.75805681818182,1.00445298147289,8.075,"PRUNEMP"
9,0.0259788605628656,0.182298368969298,-0.156319508406433,0.0258325885128117,2009.875,2009,9.29542763157895,0.0258137188353005,9.28333333333333,"PRUNEMP"
10,0.438400584795324,0.547656798245614,-0.10925621345029,0.315378099030471,2009.875,2010,9.95907894736842,0.315147727884357,9.60833333333333,"PRUNEMP"
11,0.575085264756946,0.498779752604167,0.0763055121527792,0.535449017333985,2009.875,2011,9.132421875,0.534891838335718,8.93333333333333,"PRUNEMP"
12,0.863034,0.618172666666667,0.244861333333333,0.83501124,2009.875,2012,8.2424,0.833561567708333,8.075,"PRUNEMP"
13,0.375886275584797,0.398401370614035,-0.0225150950292381,0.299741746018006,2010.125,2010,9.88427631578947,0.299522796605283,9.60833333333333,"PRUNEMP"
14,0.496400480769232,0.429689262820513,0.0667112179487195,0.445051758711374,2010.125,2011,9.1599358974359,0.444743551122239,8.93333333333333,"PRUNEMP"
15,0.784549363425927,0.526154340277778,0.258395023148149,0.741780825617284,2010.125,2012,8.28180555555556,0.740683516703649,8.075,"PRUNEMP"
16,1.08498286111111,0.618784916666667,0.466197944444446,0.931031259999999,2010.125,2013,7.7507,0.929414886284722,7.35833333333333,"PRUNEMP"
17,0.174333664444444,0.292655867719298,-0.118322203274854,0.173150183739612,2010.375,2010,9.57393157894737,0.173023704423513,9.60833333333333,"PRUNEMP"
18,0.434269972192192,0.426209021801802,0.00806095039039004,0.431082505084003,2010.375,2011,8.87687567567568,0.430749879694278,8.93333333333333,"PRUNEMP"
19,0.674307,0.579948952380952,0.0943580476190479,0.669486673469388,2010.375,2012,8.00557142857143,0.668568310405644,8.075,"PRUNEMP"
20,0.767664579377778,0.640255265066667,0.127409314311112,0.758552222336,2010.375,2013,7.453792,0.757235291394444,7.35833333333333,"PRUNEMP"
21,0.0497620519713268,0.228775134408602,-0.179013082437275,0.0331404656607699,2010.625,2010,9.73725806451613,0.0331036429211468,9.60833333333333,"PRUNEMP"
22,0.146468445969187,0.353739835737089,-0.207271389767902,0.11169571750237,2010.625,2011,9.1198078046875,0.111579488868132,8.93333333333333,"PRUNEMP"
23,0.379445444532185,0.524411672547866,-0.144966228015681,0.285732421017292,2010.625,2012,8.38112582954546,0.285084501695257,8.075,"PRUNEMP"
24,0.765975499227157,0.650616254301059,0.115359244926098,0.634495720491848,2010.625,2013,7.72093473809524,0.632909481190618,7.35833333333333,"PRUNEMP"
25,0.0346670889922092,0.136754957078252,-0.102087868086043,0.0250862205755502,2010.875,2010,9.70621524390244,0.0250705416876905,9.60833333333333,"PRUNEMP"
26,0.288806718923613,0.316692217854167,-0.0278854989305536,0.178127132460937,2010.875,2011,9.26601875,0.178010020605276,8.93333333333333,"PRUNEMP"
27,0.706014005564517,0.531364810545247,0.17464919501927,0.327298830723205,2010.875,2012,8.69039838709677,0.326935165355735,8.075,"PRUNEMP"
28,1.04705855921456,0.652867577256399,0.394190981958165,0.508994153216409,2010.875,2013,8.09186206896552,0.508344925980164,7.35833333333333,"PRUNEMP"
29,0.122947802071819,0.275181767693139,-0.15223396562132,0.094099343558164,2011.125,2011,9.10318167307692,0.0940341778077775,8.93333333333333,"PRUNEMP"
30,0.357097379128007,0.417706915772798,-0.060609536644791,0.213268324142806,2011.125,2012,8.4542480125,0.213128108282094,8.075,"PRUNEMP"
31,0.621379417538017,0.673110208450263,-0.0517307909122461,0.407911202757524,2011.125,2013,7.8203595390625,0.407486737406059,7.35833333333333,"PRUNEMP"
32,0.0933824136314346,0.276132518617886,-0.182750104986452,0.0467541558477096,2011.375,2011,8.71739756097561,0.0467249345003048,8.93333333333333,"PRUNEMP"
33,0.131321066,0.413313538166667,-0.281992472166667,0.1162240291,2011.375,2012,8.19787,0.116147616194609,8.075,"PRUNEMP"
34,0.315645637743057,0.698981501145833,-0.383335863402776,0.223307141486805,2011.375,2013,7.66220583333333,0.223041615753765,7.35833333333333,"PRUNEMP"
35,0.0700633010858598,0.224975651607955,-0.154912350522095,0.0370269339577594,2011.625,2011,9.11509242424242,0.0369907748425662,8.93333333333333,"PRUNEMP"
36,0.594531663602942,0.32608353247549,0.268448131127451,0.140146627649221,2011.625,2012,8.74908088235294,0.140017934694539,8.075,"PRUNEMP"
37,1.00532539854701,0.551591815599359,0.453733582947656,0.161532413609467,2011.625,2013,8.27691538461538,0.161273961747692,7.35833333333333,"PRUNEMP"
38,0.0751543323412715,0.107436639880952,-0.0322823075396809,0.0180845351473922,2011.875,2011,9.17222619047619,0.0180737769468287,8.93333333333333,"PRUNEMP"
39,0.72092396452381,0.297344725952381,0.42357923857143,0.111070812137188,2011.875,2012,8.85593095238095,0.111004737888445,8.075,"PRUNEMP"
40,1.36634643378789,0.499059172272727,0.867287261515158,0.284317785266299,2011.875,2013,8.3985393939394,0.284040131179125,7.35833333333333,"PRUNEMP"
41,0.172311994802632,0.290156513969298,-0.117844519166666,0.0931001142607341,2012.125,2012,8.35644605263158,0.0930321083335896,8.075,"PRUNEMP"
42,0.598213277819448,0.550771458291667,0.0474418195277816,0.29507310615,2012.125,2013,7.908915,0.294879106737673,7.35833333333333,"PRUNEMP"
43,0.0497450282352942,0.221907961960784,-0.17216293372549,0.0338794030103806,2012.375,2012,8.20095882352941,0.0338482924474693,8.075,"PRUNEMP"
44,0.313494197679742,0.404242501666667,-0.0907483039869248,0.0958509089359862,2012.375,2013,7.82485588235294,0.0957628915724086,7.35833333333333,"PRUNEMP"
45,0.043319027034884,0.211155837306202,-0.167836810271318,0.0131953883531639,2012.625,2012,8.24856162790698,0.0131879079742789,8.075,"PRUNEMP"
46,0.527593798475457,0.392182855271318,0.135410943204139,0.0768543520713899,2012.625,2013,8.02970465116279,0.0768107838445921,7.35833333333333,"PRUNEMP"
47,0.0271231176470589,0.102698696078431,-0.0755755784313725,0.0194204740484429,2012.875,2012,8.16276470588235,0.0194026407389402,8.075,"PRUNEMP"
48,0.333472538758174,0.306418033137255,0.0270545056209188,0.0552638651557093,2012.875,2013,7.88578823529412,0.0552131178047858,7.35833333333333,"PRUNEMP"
49,0.153516124161327,0.239992764727564,-0.0864766405662367,0.0221140568203485,2013.125,2013,7.72082756410256,0.0220987423765671,7.35833333333333,"PRUNEMP"
50,0.0875591516666683,0.207569876111111,-0.120010724444443,0.0338433638888889,2013.375,2013,7.5901,0.0338157366530613,7.35833333333333,"PRUNEMP"
51,0.0598032366741753,0.180899090653153,-0.121095853978978,0.0363452786705624,2013.625,2013,7.51149324324324,0.0363172344740574,7.35833333333333,"PRUNEMP"
52,0.0401073736752146,0.144090532307692,-0.103983158632478,0.0209939566863905,2013.875,2013,7.49658461538462,0.0209794179352226,7.35833333333333,"PRUNEMP"
53,0.175682787490017,0.231283703092641,-0.0556009156026233,0.0657571733909295,2014.125,2014,6.48988365243902,0.0657160751575602,6.15833333333333,"PRUNEMP"
54,0.863756789708103,0.3388016806171,0.524955109091004,0.0869794616238787,2014.125,2015,6.1563497195122,0.0869250994603638,5.275,"PRUNEMP"
55,1.21047237980253,0.44668274849979,0.763789631302742,0.126393876544835,2014.125,2016,5.91619090625,0.126262353260189,4.875,"PRUNEMP"
56,2.00307947172712,0.555348981912736,1.44773048981438,0.241149008737684,2014.125,2017,5.68571062068966,0.240841420716335,4.35833333333333,"PRUNEMP"
