"event","time","p","resolution","quarter","bin","realization","grpd_time_event"
2009,2009.375,0.0107944680851064,1,2,1,9.28333333333333,1
2009,2009.375,0.0417659574468085,1,2,2,9.28333333333333,1
2009,2009.375,0.19236170212766,1,2,3,9.28333333333333,1
2009,2009.375,0.474531914893617,1,2,4,9.28333333333333,1
2009,2009.375,0.223170212765957,1,2,5,9.28333333333333,1
2009,2009.375,0.043936170212766,1,2,6,9.28333333333333,1
2009,2009.375,0.00888297872340426,1,2,7,9.28333333333333,1
2009,2009.375,0.00264042553191489,1,2,8,9.28333333333333,1
2009,2009.375,0.00089468085106383,1,2,9,9.28333333333333,1
2009,2009.375,0.00102148936170213,1,2,10,9.28333333333333,1
2009,2009.625,0.00736363636363636,1,3,1,9.28333333333333,5
2009,2009.625,0.0524545454545454,1,3,2,9.28333333333333,5
2009,2009.625,0.252666666666667,1,3,3,9.28333333333333,5
2009,2009.625,0.562151515151515,1,3,4,9.28333333333333,5
2009,2009.625,0.0945151515151515,1,3,5,9.28333333333333,5
2009,2009.625,0.0217272727272727,1,3,6,9.28333333333333,5
2009,2009.625,0.00593939393939394,1,3,7,9.28333333333333,5
2009,2009.625,0.00236363636363636,1,3,8,9.28333333333333,5
2009,2009.625,0.000636363636363636,1,3,9,9.28333333333333,5
2009,2009.625,0.000151515151515151,1,3,10,9.28333333333333,5
2009,2009.875,0.00236842105263158,1,4,1,9.28333333333333,9
2009,2009.875,0.0169736842105263,1,4,2,9.28333333333333,9
2009,2009.875,0.162236842105263,1,4,3,9.28333333333333,9
2009,2009.875,0.745,1,4,4,9.28333333333333,9
2009,2009.875,0.0457894736842105,1,4,5,9.28333333333333,9
2009,2009.875,0.0139473684210526,1,4,6,9.28333333333333,9
2009,2009.875,0.00789473684210526,1,4,7,9.28333333333333,9
2009,2009.875,0.00289473684210526,1,4,8,9.28333333333333,9
2009,2009.875,0.00223684210526316,1,4,9,9.28333333333333,9
2009,2009.875,0.000657894736842105,1,4,10,9.28333333333333,9
2009,2009.999,0,2,5,1,9.28333333333333,13
2009,2009.999,0,2,5,2,9.28333333333333,13
2009,2009.999,0,2,5,3,9.28333333333333,13
2009,2009.999,1,2,5,4,9.28333333333333,13
2009,2009.999,0,2,5,5,9.28333333333333,13
2009,2009.999,0,2,5,6,9.28333333333333,13
2009,2009.999,0,2,5,7,9.28333333333333,13
2009,2009.999,0,2,5,8,9.28333333333333,13
2009,2009.999,0,2,5,9,9.28333333333333,13
2009,2009.999,0,2,5,10,9.28333333333333,13
2010,2009.375,0.0433404255319149,1,2,1,9.60833333333333,2
2010,2009.375,0.200255319148936,1,2,2,9.60833333333333,2
2010,2009.375,0.277468085106383,1,2,3,9.60833333333333,2
2010,2009.375,0.24363829787234,1,2,4,9.60833333333333,2
2010,2009.375,0.122829787234043,1,2,5,9.60833333333333,2
2010,2009.375,0.0621914893617021,1,2,6,9.60833333333333,2
2010,2009.375,0.0292553191489362,1,2,7,9.60833333333333,2
2010,2009.375,0.0119574468085106,1,2,8,9.60833333333333,2
2010,2009.375,0.00523404255319149,1,2,9,9.60833333333333,2
2010,2009.375,0.00382978723404255,1,2,10,9.60833333333333,2
2010,2009.625,0.0368484848484848,1,3,1,9.60833333333333,6
2010,2009.625,0.189727272727273,1,3,2,9.60833333333333,6
2010,2009.625,0.334333333333333,1,3,3,9.60833333333333,6
2010,2009.625,0.224666666666667,1,3,4,9.60833333333333,6
2010,2009.625,0.118878787878788,1,3,5,9.60833333333333,6
2010,2009.625,0.0567272727272727,1,3,6,9.60833333333333,6
2010,2009.625,0.0167575757575758,1,3,7,9.60833333333333,6
2010,2009.625,0.0113333333333333,1,3,8,9.60833333333333,6
2010,2009.625,0.00721212121212121,1,3,9,9.60833333333333,6
2010,2009.625,0.00351515151515152,1,3,10,9.60833333333333,6
2010,2009.875,0.0621052631578947,1,4,1,9.60833333333333,10
2010,2009.875,0.370526315789474,1,4,2,9.60833333333333,10
2010,2009.875,0.35921052631579,1,4,3,9.60833333333333,10
2010,2009.875,0.115263157894737,1,4,4,9.60833333333333,10
2010,2009.875,0.0436842105263158,1,4,5,9.60833333333333,10
2010,2009.875,0.0211842105263158,1,4,6,9.60833333333333,10
2010,2009.875,0.0105263157894737,1,4,7,9.60833333333333,10
2010,2009.875,0.00881578947368421,1,4,8,9.60833333333333,10
2010,2009.875,0.00592105263157895,1,4,9,9.60833333333333,10
2010,2009.875,0.00276315789473684,1,4,10,9.60833333333333,10
2010,2010.125,0.0507894736842105,1,1,1,9.60833333333333,14
2010,2010.125,0.281052631578947,1,1,2,9.60833333333333,14
2010,2010.125,0.436842105263158,1,1,3,9.60833333333333,14
2010,2010.125,0.161315789473684,1,1,4,9.60833333333333,14
2010,2010.125,0.0360526315789474,1,1,5,9.60833333333333,14
2010,2010.125,0.0130263157894737,1,1,6,9.60833333333333,14
2010,2010.125,0.0081578947368421,1,1,7,9.60833333333333,14
2010,2010.125,0.00723684210526316,1,1,8,9.60833333333333,14
2010,2010.125,0.00407894736842105,1,1,9,9.60833333333333,14
2010,2010.125,0.00144736842105263,1,1,10,9.60833333333333,14
2010,2010.375,0.0123684210526316,1,2,1,9.60833333333333,18
2010,2010.375,0.116063157894737,1,2,2,9.60833333333333,18
2010,2010.375,0.473305263157895,1,2,3,9.60833333333333,18
