"event","bin","PRUNEMP"
2009,4,9.28333333333333
2010,3,9.60833333333333
2011,5,8.93333333333333
2012,6,8.075
2013,8,7.35833333333333
2014,6,6.15833333333333
2015,8,5.275
2016,9,4.875
2017,9,4.35833333333333
2018,10,3.89166666666667
2019,10,3.675
2020,4,8.09166666666667
2021,7,5.35833333333333
