"grpd_time_event","mean_sqDevFromRealization","mean_VarPredicted","mean_error","mean_disagreementEV","mean_time","event","meanEV","mean_disagreementEVMinusPersoni","mean_realization","dataSet"
56,0.355777777777778,0.990444444444444,-0.634666666666667,0.328369135802469,1982.875,1982,6.03444444444444,0.328101079365079,6.2,"PRPGDP"
57,2.68954444444444,1.65545555555556,1.03408888888889,0.380833024691358,1982.875,1983,5.41944444444444,0.380522140589569,3.9,"PRPGDP"
58,1.43621176470588,1.96727843137255,-0.531066666666667,0.342341868512111,1983.125,1983,4.94588235294118,0.342027504996489,3.9,"PRPGDP"
59,4.63747058823529,2.45813725490196,2.17933333333333,1.0520169550173,1983.125,1984,5.49352941176471,1.05105091557284,3.6,"PRPGDP"
60,1.46370526315789,1.47169824561404,-0.00799298245614031,0.244424376731302,1983.375,1983,5.00421052631579,0.244245834454654,3.9,"PRPGDP"
61,3.58136842105263,2.09814035087719,1.48322807017544,0.401716343490305,1983.375,1984,5.38315789473684,0.401422905693745,3.6,"PRPGDP"
62,1.27655,1.1396183,0.1369317,0.167741,1983.625,1983,4.953,0.167541545778835,3.9,"PRPGDP"
63,3.72012,1.88388,1.83624,0.44402,1983.625,1984,5.41,0.443492033293698,3.6,"PRPGDP"
64,1.10231111111111,0.823022222222222,0.279288888888889,0.29430987654321,1983.875,1983,4.79888888888889,0.294069623582767,3.9,"PRPGDP"
65,2.46986666666667,1.6808,0.789066666666667,0.213195061728395,1983.875,1984,5.10222222222222,0.213021024943311,3.6,"PRPGDP"
66,3.64435862068965,1.74189425287356,1.90246436781609,0.794083234244947,1984.125,1984,5.28827586206897,0.793070372976777,3.6,"PRPGDP"
67,2.59135757575758,1.48246060606061,1.10889696969697,0.420646464646465,1984.375,1984,5.07333333333333,0.420235677083333,3.6,"PRPGDP"
68,0.641578947368421,1.05140350877193,-0.409824561403509,0.531634349030471,1984.625,1984,3.93157894736842,0.529993502274204,3.6,"PRPGDP"
69,0.294407142857143,0.64476130952381,-0.350354166666667,0.279488265306122,1984.875,1984,3.47785714285714,0.279104879482657,3.6,"PRPGDP"
70,0.809542857142857,1.35902857142857,-0.549485714285714,0.808975963718821,1985.125,1986,2.02380952380952,0.806953523809524,2,"PRPGDP"
71,2.43055384615385,2.05734358974359,0.373210256410256,0.942153846153846,1985.375,1985,4.42,0.9406464,3.2,"PRPGDP"
72,9.58589230769231,1.99000512820513,7.59588717948718,1.34899230769231,1985.375,1986,4.87,1.34683392,2,"PRPGDP"
73,0.699379310344827,1.39473563218391,-0.695356321839081,0.450756718192628,1985.625,1985,3.69862068965517,0.450181773399015,3.2,"PRPGDP"
74,5.48395714285714,2.02556666666667,3.45839047619048,0.665932142857143,1985.625,1986,4.195,0.66501865569273,2,"PRPGDP"
75,0.4318,1.03460797101449,-0.602807971014493,0.339700945179584,1985.875,1985,3.50347826086957,0.338999083722601,3.2,"PRPGDP"
76,4.8000347826087,1.96315362318841,2.83688115942029,0.652613988657845,1985.875,1986,4.03652173913043,0.651265612648221,2,"PRPGDP"
77,1.53416666666667,0.665833333333333,0.868333333333333,0.867222222222222,1986.125,1986,2.81666666666667,0.865582860743541,2,"PRPGDP"
78,2.2704875,1.796620875,0.473866625,1.16360815972222,1986.125,1987,3.55208333333333,1.16140852236925,2.5,"PRPGDP"
79,1.89632307692308,1.0980358974359,0.79828717948718,0.563186390532544,1986.375,1986,3.15461538461538,0.562285292307692,2,"PRPGDP"
80,2.9602,1.90492820512821,1.0552717948718,0.790244378698225,1986.375,1987,3.97307692307692,0.788979987692308,2.5,"PRPGDP"
81,1.2511619047619,1.06598095238095,0.185180952380953,0.365770521541951,1986.625,1986,2.94095238095238,0.364856095238096,2,"PRPGDP"
82,1.26807619047619,1.84859047619048,-0.580514285714285,0.600353741496599,1986.625,1987,3.31714285714286,0.598852857142857,2.5,"PRPGDP"
83,2.95983043478261,0.595663405797101,2.36416702898551,0.93972438563327,1986.875,1986,3.42130434782609,0.937782806324111,2,"PRPGDP"
84,1.85735652173913,1.33409275362319,0.523263768115942,0.804502079395085,1986.875,1987,3.52608695652174,0.80283988501617,2.5,"PRPGDP"
85,1.54781052631579,1.72569824561404,-0.177887719298246,0.95895623268698,1987.125,1987,3.26736842105263,0.95599649122807,2.5,"PRPGDP"
86,1.93235789473684,2.42325614035088,-0.490898245614035,1.88113905817175,1987.125,1988,3.72631578947368,1.8753330734243,3.5,"PRPGDP"
87,1.39869230769231,1.43105128205128,-0.0323589743589745,0.409432544378698,1987.375,1987,3.49461538461538,0.408777452307692,2.5,"PRPGDP"
88,1.43476923076923,2.12805128205128,-0.693282051282051,0.838310059171598,1987.375,1988,4.27230769230769,0.836968763076923,3.5,"PRPGDP"
89,1.61764,1.18702666666667,0.430613333333334,0.53604,1987.625,1987,3.54,0.53455512465374,2.5,"PRPGDP"
90,1.5391,2.12456666666667,-0.585466666666667,0.374859,1987.625,1988,4.579,0.373820609418283,3.5,"PRPGDP"
91,0.616272222222222,0.713340277777778,-0.0970680555555556,0.303294135802469,1987.875,1987,3.05944444444444,0.302244675124952,2.5,"PRPGDP"
92,0.478888888888889,1.53111111111111,-1.05222222222222,0.470987654320988,1987.875,1988,3.58888888888889,0.469357939254133,3.5,"PRPGDP"
93,0.66235294117647,1.71313725490196,-1.05078431372549,0.64242214532872,1988.125,1988,3.64117647058824,0.639912683823529,3.5,"PRPGDP"
94,0.839411764705882,2.41254901960784,-1.57313725490196,0.781245674740484,1988.125,1989,4.14117647058824,0.778193933823529,3.9,"PRPGDP"
95,0.3021,1.84206666666667,-1.53996666666667,0.27884375,1988.375,1988,3.3475,0.277604444444444,3.5,"PRPGDP"
96,0.92875,2.59041666666667,-1.66166666666667,0.89359375,1988.375,1989,4.0875,0.889622222222222,3.9,"PRPGDP"
97,0.827025,1.55589166666667,-0.728866666666667,0.8268984375,1988.625,1988,3.51125,0.823223333333333,3.5,"PRPGDP"
98,0.926200000000001,2.68796666666667,-1.76176666666667,0.34479375,1988.625,1989,4.6625,0.343261333333334,3.9,"PRPGDP"
99,0.476623076923077,0.874891666666667,-0.39826858974359,0.470586982248521,1988.875,1988,3.42230769230769,0.467319017094017,3.5,"PRPGDP"
100,0.974707692307692,1.9210358974359,-0.946328205128205,0.354248520710059,1988.875,1989,4.68769230769231,0.351788461538461,3.9,"PRPGDP"
101,1.165225,1.69069166666667,-0.525466666666666,0.3165234375,1989.125,1989,4.82125,0.315116666666667,3.9,"PRPGDP"
102,1.265625,2.17354166666667,-0.907916666666666,0.3983984375,1989.125,1990,4.73125,0.396627777777778,3.8,"PRPGDP"
