"p","trueBinSmoothed","pAgg","trueBinSmoothedAgg"
0,0.0197213146405066,NA,NA
0.6,0.408023863176655,NA,NA
0.3,0.274241771943153,NA,NA
0.1,0.129669870037653,NA,NA
0.5,0.361571363459104,NA,NA
0.4,0.330479147904727,NA,NA
0.2,0.214173555636711,NA,NA
0.7,0.439291172990886,NA,NA
0.55,0.384957779013921,NA,NA
0.45,0.348154379683198,NA,NA
0.05,0.0744943390737959,NA,NA
0.75,0.45605166986613,NA,NA
0.8,0.483861670968168,NA,NA
0.95,0.592871514870415,NA,NA
0.25,0.244566674938279,NA,NA
1,0.622250632997211,NA,NA
0.9,0.558598994401385,NA,NA
0.01,0.029756888435824,NA,NA
0.85,0.52114244864983,NA,NA
0.15,0.174127042915265,NA,NA
0.35,0.305714466562532,NA,NA
0.34,0.299784118031373,NA,NA
0.03,0.0513602027199521,NA,NA
0.07,0.0971430505137445,NA,NA
0.02,0.0402700367735683,NA,NA
0.65,0.427240258852458,NA,NA
0.37,0.31665452434146,NA,NA
0.38,0.321576634239427,NA,NA
0.08,0.108286223118914,NA,NA
0.18,0.198960985401143,NA,NA
0.04,0.0628728036914742,NA,NA
0.12,0.14834470085591,NA,NA
0.48,0.355561330672848,NA,NA
0.06,0.085890214144702,NA,NA
0.11,0.139304365105631,NA,NA
0.17,0.190825234575154,NA,NA
0.16,0.182526363234321,NA,NA
0.47,0.353126047658337,NA,NA
0.13,0.157069035957863,NA,NA
0.83,0.50571378864079,NA,NA
0.14,0.165641397625039,NA,NA
0.46,0.350731077957881,NA,NA
0.32,0.287215840938892,NA,NA
0.22,0.227235070604143,NA,NA
0.28,0.261856678588905,NA,NA
0.58,0.399131794242693,NA,NA
0.43,0.342000183652306,NA,NA
0.96,0.599085274400191,NA,NA
0.98,0.610909195894,NA,NA
0.09,0.11923080544635,NA,NA
0.42,0.338428880595864,NA,NA
0.26,0.250191516419905,NA,NA
0.63,0.420489197809185,NA,NA
0.19,0.206802579050817,NA,NA
0.24,0.23895441941226,NA,NA
0.72,0.444865284904459,NA,NA
0.64,0.424081381210605,NA,NA
0.36,0.311360006735693,NA,NA
0.67,0.432417823498219,NA,NA
0.33,0.293600445321235,NA,NA
0.49,0.358289879589695,NA,NA
0.44,0.345252451383934,NA,NA
0.21,0.220942953709865,NA,NA
0.39,0.326164219201513,NA,NA
0.66,0.429995812627594,NA,NA
0.23,0.233209051122502,NA,NA
0.41,0.334576424251653,NA,NA
0.88,0.543891215620928,NA,NA
0.51,0.365545988518288,NA,NA
0.31,0.280714747604334,NA,NA
0.76,0.460658591365759,NA,NA
0.56,0.389822764722538,NA,NA
0.53,0.374960804294302,NA,NA
0.92,0.572849584071682,NA,NA
0.62,0.41654543200173,NA,NA
0.52,0.370090681414671,NA,NA
0.78,0.471301953559712,NA,NA
0.94,0.586426712377282,NA,NA
0.82,0.498147446211319,NA,NA
0.93,0.57974371854632,NA,NA
0.001,0.0207154359624071,NA,NA
0.997969,0.621107890222405,NA,NA
0.97,0.605083784682436,NA,NA
0.73,0.448181746347226,NA,NA
0.84,0.513415513773871,NA,NA
0.69,0.436912806296737,NA,NA
0.29,0.267948651977313,NA,NA
0.99,0.61661306534817,NA,NA
0.57,0.394542275745772,NA,NA
0.91,0.565788490569079,NA,NA
0.74,0.451899649148781,NA,NA
0.54,0.379971712493503,NA,NA
0.77,0.465738206242152,NA,NA
0.275,0.258876292441876,NA,NA
0.87,0.536392366672269,NA,NA
0.61,0.412358421284352,NA,NA
0.59,0.403616067651126,NA,NA
0.27,0.255939255104923,NA,NA
0.79,0.47734539922014,NA,NA
0.025,0.0457488437915082,NA,NA
0.075,0.102729761173562,NA,NA
0.005,0.0247035114311377,NA,NA
0.013999,0.0338908261984056,NA,NA
0.095,0.124539183150766,NA,NA
0.475,0.354322990856722,NA,NA
0.385,0.323908784573593,NA,NA
0.045,0.0686963449160156,NA,NA
0.288984,0.26732096104285,NA,NA
0.401992,0.331312672321211,NA,NA
0.195,0.210559051542123,NA,NA
0.032,0.0536368361738567,NA,NA
0.002,0.0217101459762676,NA,NA
0.008,0.0277225342468266,NA,NA
0.335,0.296721368840496,NA,NA
0.165,0.186690763734126,NA,NA
0.023999,0.0446406967817402,NA,NA
0.047,0.0710220578636546,NA,NA
0.078999,0.107176618919513,NA,NA
0.113999,0.142973420204892,NA,NA
0.145999,0.170741396418684,NA,NA
0.157998,0.180852159081765,NA,NA
0.142,0.167344728417544,NA,NA
0.112,0.14114984547635,NA,NA
0.012,0.0318129518361316,NA,NA
0.038999,0.0617090729521113,NA,NA
0.067998,0.0948983228285428,NA,NA
0.103999,0.13361543267248,NA,NA
0.137,0.16308034405756,NA,NA
0.155999,0.17917682180219,NA,NA
0.123999,0.151859548057433,NA,NA
0.406992,0.33336772193788,NA,NA
0.196992,0.212017565376103,NA,NA
0.085,0.11379825392215,NA,NA
0.117998,0.146567695098127,NA,NA
0.152998,0.176654786626733,NA,NA
0.163984,0.185846717551713,NA,NA
0.012998,0.0328474493633738,NA,NA
0.317969,0.285901172860145,NA,NA
0.085999,0.114891355353283,NA,NA
0.006,0.0257062563011662,NA,NA
0.045999,0.0698587887351305,NA,NA
0.082,0.110497981340661,NA,NA
0.122998,0.150983568643412,NA,NA
0.155,0.178338188415335,NA,NA
0.190977,0.207546554437281,NA,NA
0.147998,0.172434629686637,NA,NA
0.003,0.0227060214122951,NA,NA
0.326992,0.291698103320455,NA,NA
