"","problem","distance","line","mean","sd","mbestsd","mavgsd","scaled"
"1",1,"c","l",87.3639018259322,0.888155159063554,NA,NA,0
"2",1,"f","l",77.6438263074184,0.888155159063554,NA,NA,0
"3",1,"c","n",88.2086387168043,1.67990509008515,0.822285620396251,1.01119313370949,0
"4",1,"f","n",79.1383608066537,2.55328044740923,0.822285620396251,1.00858392607293,0
"5",2,"c","l",116.160513953306,2.39996167415123,NA,NA,0
"6",2,"f","l",128.591678532772,2.39996167415123,NA,NA,0
"7",2,"c","n",118.098468302519,4.58562680771636,2.30260073911825,2.79548726889264,0
"8",2,"f","n",132.020366996765,6.88528009899235,2.30260073911825,2.79123422709546,0
"9",3,"c","l",100.348547697067,3.23434821353919,NA,NA,0
"10",3,"f","l",100.616661310196,3.23434821353919,NA,NA,0
"11",3,"c","n",102.983314484163,6.20724820410438,3.02780439755553,3.72054477246262,0
"12",3,"f","n",105.278171779672,9.43996200114135,3.02780439755553,3.70679619794689,0
"13",4,"c","l",118.661453685723,4.35386084881419,NA,NA,0
"14",4,"f","l",133.016418059357,4.35386084881419,NA,NA,0
"15",4,"c","n",113.964432537561,8.15811945684293,4.03531205147828,4.96656298664518,0
"16",4,"f","n",124.7063037203,12.328001944008,4.03531205147828,4.93996428993538,0
"17",5,"c","l",99.4003089709828,7.48866820547288,NA,NA,0
"18",5,"f","l",98.9390081794312,7.48866820547288,NA,NA,0
"19",5,"c","n",94.7633239553592,14.8820268153248,7.97906972546924,9.35911011275937,0
"20",5,"f","n",90.7351116133277,22.4041412625873,7.97906972546924,9.28652350236173,0
"21",6,"c","l",76.214608868584,8.11987128032179,NA,NA,0
"22",6,"f","l",57.9181541521102,8.11987128032179,NA,NA,0
"23",6,"c","n",90.3031256478719,15.9051371355497,9.65957505691051,10.6246407424112,0
"24",6,"f","n",82.8439915308502,22.5114366007283,9.65957505691051,10.6692163238047,0
"25",7,"c","l",76.0738288140856,5.92749710015529,NA,NA,1
"26",7,"f","l",57.6690817479976,5.92749710015529,NA,NA,1
"27",7,"c","n",75.0928900721059,5.98298768187688,2.91399736835555,3.57559569158381,1
"28",7,"f","n",56.5372904433333,5.92398228516331,1.90033049347549,2.33627773086265,1
"29",8,"c","l",107.937056587233,8.15935732792705,NA,NA,1
"30",8,"f","l",114.042484731258,8.15935732792705,NA,NA,1
"31",8,"c","n",99.3388829322673,8.11385066316735,5.70737136748442,5.99156704334056,1
"32",8,"f","n",102.788221565987,8.2999695285296,4.22243042827256,4.46864527323287,1
"33",9,"c","l",115.740677188151,6.46996677837937,NA,NA,1
"34",9,"f","l",127.848890409805,6.46996677837937,NA,NA,1
"35",9,"c","n",115.15271156221,6.40787624762091,4.06799125789582,4.44527181313201,1
"36",9,"f","n",127.115405543447,6.55502370636445,2.8683672030894,3.13034999560904,1
"37",10,"c","l",119.190909591969,19.9829982265021,NA,NA,1
"38",10,"f","l",133.953147739638,19.9829982265021,NA,NA,1
"39",10,"c","n",100.736026381774,19.454811707964,11.9790357303752,13.3345329445402,1
"40",10,"f","n",111.63550435985,19.4933567617103,8.18793542738538,9.0997811058902,1
"41",11,"c","l",88.3095669501151,13.5680398170012,NA,NA,1
"42",11,"f","l",79.3169261425113,13.5680398170012,NA,NA,1
"43",11,"c","n",101.849982511453,13.7271485502469,9.85848795156636,10.3379077706504,1
"44",11,"f","n",96.4775517483765,13.572872019595,7.06198758028009,7.41306584925794,1
"45",12,"c","l",93.5879432875663,22.317515924572,NA,NA,1
"46",12,"f","l",88.6555919703096,22.317515924572,NA,NA,1
"47",12,"c","n",92.0840884821416,22.8848393158626,11.3394152501215,13.8547403381131,1
"48",12,"f","n",86.9423521487319,22.4468908373211,7.30160656837333,8.93194541926975,1
