"","problem","distance","line","mean","sd","binA","binB","binC","binD","binE","binF","binG","binH"
"1",1,"c","l",84.3089251924927,2.18274435765695,0,0,0,3.27071703054571e-13,0.00456293504021699,0.971251085458648,0.0241859794730753,2.77325951039135e-11
"2",1,"f","l",72.2388676482563,2.18274435765695,0,0,0,0,2.22044604925031e-16,0.000188504025474878,0.847297879128522,0.152513616846003
"3",1,"c","n",89.6449872498154,4.44338699698185,0,4.20141699208898e-12,2.31414135243302e-06,0.00988934197981839,0.458267980195344,0.516861112066552,0.0149743433095475,4.90830318406869e-06
"4",1,"f","n",81.6795928265964,6.05065923215449,6.66133814775094e-16,1.20015442028887e-10,1.43041838729374e-06,0.00123012582561977,0.0833149346437806,0.524789340826125,0.363879383981791,0.0267847841842806
"5",2,"c","l",102.097377400224,5.39268206568983,1.14466703782234e-07,0.000450296320251731,0.0709507880845167,0.579934943865406,0.336224962563673,0.0124180273120512,2.08660631710687e-05,1.3242261325606e-09
"6",2,"f","l",103.710744631166,5.39268206568983,5.44077897735029e-07,0.00126073523779591,0.120493916179845,0.632552240536363,0.240188997274691,0.00549807470784769,5.49178190637403e-06,2.03652899118926e-10
"7",2,"c","n",111.124731266665,10.3777940407998,0.034469967331341,0.161745470047033,0.346936892937215,0.314981941691328,0.120968976045173,0.0195431549359706,0.00131655324742703,3.704376451279e-05
"8",2,"f","n",119.682216856408,14.8232993100875,0.243198216801537,0.248249879938106,0.251730351690983,0.164697675061881,0.0695031656596867,0.0189066620227598,0.00331236248765797,0.000401686337387609
"9",3,"c","l",98.611640157178,6.86263744203565,2.39473745677898e-06,0.00091223402271623,0.0475956546676137,0.371328066299313,0.475396617065762,0.101421349654512,0.00332839935591751,1.52841967086296e-05
"10",3,"f","l",97.543671047315,6.86263744203565,1.12578316013856e-06,0.000532332662136148,0.0342213087263304,0.325443893100005,0.503969180138598,0.130544141017911,0.00525811485717942,2.99037146803534e-05
"11",3,"c","n",122.032981806349,13.513787562297,0.27774706567334,0.282043246306948,0.253590181187918,0.135111816002042,0.0426230876174531,0.00795036155395247,0.000875270110157245,5.89715481901472e-05
"12",3,"f","n",138.981429349695,18.01336924326,0.690968682470177,0.16303060755387,0.0921799029092772,0.0385896938682367,0.0119588239155969,0.0027426953022364,0.000465380913313505,6.42130672918692e-05
"13",4,"c","l",111.869824770528,3.98500797813412,2.68745405229698e-06,0.0206629927112698,0.659876270392306,0.318010301680411,0.00144772743937309,2.03225876174646e-08,6.35211651426014e-16,4.0172027259397e-26
"14",4,"f","l",121.000459209395,3.98500797813412,0.0119619391208772,0.587152561623355,0.397999507025572,0.00288592396860908,6.82615828537431e-08,3.64716678309797e-15,3.96290018065533e-25,8.40252550910205e-38
"15",4,"c","n",106.624577779571,8.20114905313849,0.00218416253577491,0.0492693838599914,0.288870400013088,0.450062294145234,0.188287843875782,0.0207416350561355,0.000580291750524597,3.98876346935596e-06
"16",4,"f","n",111.72040684078,12.1764631862957,0.0666488767872404,0.181613800938064,0.307916714627821,0.275932922340663,0.130659812830072,0.0326349524661368,0.00428700559184723,0.000305914418155113
"17",5,"c","l",81.5053389645182,4.51876391145188,0,0,1.43305478594868e-10,2.13042495070814e-05,0.0300420118180984,0.600418868896809,0.364071510260894,0.00544630463138664
"18",5,"f","l",67.2786766295321,4.51876391145188,0,0,0,2.22377671832419e-13,2.47531121377875e-07,0.0024369302696946,0.271074217069034,0.726488605129928
"19",5,"c","n",82.0814343610604,9.5226940617112,2.42645554870968e-07,3.39383587776299e-05,0.00165087669620745,0.0282553749669935,0.172891972100232,0.383677501396038,0.311215910313238,0.102274183522959
"20",5,"f","n",68.2979223311069,13.9804567544447,5.08675933075242e-06,0.000103493818448541,0.00131915143585559,0.010249080069867,0.048616580907762,0.140994138966723,0.250262191082104,0.54845027695991
"21",6,"c","l",122.556066345423,6.99208258462346,0.143523228094565,0.499132226845494,0.321077789428607,0.0356389658643024,0.000626178747726615,1.61044163513869e-06,5.77641579071929e-10,2.81286538422244e-14
"22",6,"f","l",139.906886611134,6.99208258462346,0.921739834929479,0.0760539207187793,0.00219678354675715,9.4550705579072e-06,5.73395182372542e-09,4.74769587110787e-13,5.27323642020405e-18,7.77478970873101e-24
"23",6,"c","n",119.119344702067,14.3386413474704,0.223975791639801,0.251537238706051,0.26209804963105,0.171190925023932,0.0700618796677694,0.0179525126499038,0.00287695161072448,0.000306651070767958
"24",6,"f","n",133.826532934425,21.5707347290126,0.570400795265349,0.168833224364299,0.126094474080632,0.0762505248914153,0.0373319480370067,0.0147973861596092,0.00474815657348627,0.00154349062820291
