"","problem","distance","line","mean","sd","binA","binB","binC","binD","binE","binF","binG","binH"
"1",1,"c","l",84.3089251924927,2.29926949558344,0,0,0,4.41546799123671e-12,0.00665870389334489,0.962878905600353,0.0304623902584037,2.43482743047288e-10
"2",1,"f","l",72.2388676482563,2.29926949558344,0,0,0,0,5.55111512312578e-15,0.00036843864227154,0.834536248517741,0.165095312839982
"3",1,"c","n",89.6449872498154,4.44338699698185,0,4.20141699208898e-12,2.31414135243302e-06,0.00988934197981839,0.458267980195344,0.516861112066552,0.0149743433095475,4.90830318406869e-06
"4",1,"f","n",81.6795928265964,6.05065923215449,6.66133814775094e-16,1.20015442028887e-10,1.43041838729374e-06,0.00123012582561977,0.0833149346437806,0.524789340826125,0.363879383981791,0.0267847841842806
"5",2,"c","l",102.097377400224,5.45118569868584,1.53878547570763e-07,0.000511261458025603,0.0730586924411271,0.576220859359163,0.336973134079198,0.0132106899934735,2.52068377047978e-05,1.95275987631494e-09
"6",2,"f","l",103.710744631166,5.45118569868584,7.08255428194526e-07,0.0014024022452962,0.122900114439095,0.627673219490739,0.242075071469596,0.00594166632057675,6.81746700407848e-06,3.12264455490395e-10
"7",2,"c","n",111.124731266665,10.3777940407998,0.034469967331341,0.161745470047033,0.346936892937215,0.314981941691328,0.120968976045173,0.0195431549359706,0.00131655324742703,3.704376451279e-05
"8",2,"f","n",119.682216856408,14.8232993100875,0.243198216801537,0.248249879938106,0.251730351690983,0.164697675061881,0.0695031656596867,0.0189066620227598,0.00331236248765797,0.000401686337387609
"9",3,"c","l",98.611640157178,7.1746199587146,6.07396165663854e-06,0.00142993542941006,0.0547849980770821,0.367058827359231,0.461707220291215,0.110270920245739,0.00470869373675295,3.33308989135135e-05
"10",3,"f","l",97.543671047315,7.1746199587146,3.03739004003933e-06,0.000871090142612219,0.0403931441615312,0.324771355049775,0.487432733413252,0.139290860258442,0.0071760220623749,6.17575219719627e-05
"11",3,"c","n",122.032981806349,13.513787562297,0.27774706567334,0.282043246306948,0.253590181187918,0.135111816002042,0.0426230876174531,0.00795036155395247,0.000875270110157245,5.89715481901472e-05
"12",3,"f","n",138.981429349695,18.01336924326,0.690968682470177,0.16303060755387,0.0921799029092772,0.0385896938682367,0.0119588239155969,0.0027426953022364,0.000465380913313505,6.42130672918692e-05
"13",4,"c","l",111.869824770528,4.19284580437818,7.65869641328187e-06,0.026239420851899,0.645938408018988,0.325494165820553,0.00232025519112543,9.1421007162495e-08,1.46924523112248e-14,8.77470552208868e-24
"14",4,"f","l",121.000459209395,4.19284580437818,0.0159203822859312,0.578376007677372,0.401353646913805,0.00434968904427524,2.74078545273078e-07,7.14228825063548e-14,6.95120708519881e-23,2.4259535052851e-34
"15",4,"c","n",106.624577779571,8.20114905313849,0.00218416253577491,0.0492693838599914,0.288870400013088,0.450062294145234,0.188287843875782,0.0207416350561355,0.000580291750524597,3.98876346935596e-06
"16",4,"f","n",111.72040684078,12.1764631862957,0.0666488767872404,0.181613800938064,0.307916714627821,0.275932922340663,0.130659812830072,0.0326349524661368,0.00428700559184723,0.000305914418155113
"17",5,"c","l",81.5053389645182,4.65147984858484,0,1.11022302462516e-16,4.50764203741016e-10,3.50296723327093e-05,0.0338729601643398,0.592981339648316,0.366420441671604,0.00669022839264382
"18",5,"f","l",67.2786766295321,4.65147984858484,0,0,0,9.99089699860178e-13,5.17795784804598e-07,0.00311946174950994,0.276138869865668,0.720741150588038
"19",5,"c","n",82.0814343610604,9.5226940617112,2.42645554870968e-07,3.39383587776299e-05,0.00165087669620745,0.0282553749669935,0.172891972100232,0.383677501396038,0.311215910313238,0.102274183522959
"20",5,"f","n",68.2979223311069,13.9804567544447,5.08675933075242e-06,0.000103493818448541,0.00131915143585559,0.010249080069867,0.048616580907762,0.140994138966723,0.250262191082104,0.54845027695991
"21",6,"c","l",122.556066345423,7.34099154203135,0.155285908678287,0.480865675146162,0.320252883775466,0.0425345845286449,0.00105634067184422,4.6038249384209e-06,3.37425169838176e-09,4.05568890635877e-13
"22",6,"f","l",139.906886611134,7.34099154203135,0.91141656721734,0.0852369153801049,0.00332340692991114,2.30832538134358e-05,2.7213540205488e-08,5.28975490396499e-12,1.66683060226227e-16,8.42770833222258e-22
"23",6,"c","n",119.119344702067,14.3386413474704,0.223975791639801,0.251537238706051,0.26209804963105,0.171190925023932,0.0700618796677694,0.0179525126499038,0.00287695161072448,0.000306651070767958
"24",6,"f","n",133.826532934425,21.5707347290126,0.570400795265349,0.168833224364299,0.126094474080632,0.0762505248914153,0.0373319480370067,0.0147973861596092,0.00474815657348627,0.00154349062820291
